"Periodo","edad_mayor","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres"
1981,"mas80",731265,244005,487260,1.94271064850296,0.648234377124522,1.29447627137843
1982,"entre65y79",3546358.48,1489484.77,2056873.71,9.36287318784483,3.93244425102118,5.43042893682364
1982,"mas80",766603,257151,509452,2.023937149868,0.67891393853886,1.34502321132914
1983,"entre65y79",3583571.25,1502334.24,2081237.01,9.40855081734945,3.94433012645809,5.46422069089137
1983,"mas80",815205,273792,541413,2.14029445320987,0.718832071605592,1.42146238160428
1984,"entre65y79",3618713.54,1514517.58,2104195.96,9.46017929631631,3.959309764603,5.50086953171331
1984,"mas80",856138.66,288362,567776.66,2.23815041908733,0.753846965804418,1.48430345328291
1985,"entre65y79",3664318.64,1534699.24,2129619.4,9.54030297125292,3.9956939223363,5.54460904891663
1985,"mas80",899728.59,302253.16,597475.43,2.34250461922116,0.78693667328521,1.55556794593595
1986,"entre65y79",3730052.12,1565779.35,2164272.77,9.6793815120866,4.0631538661709,5.6162276459157
1986,"mas80",942527.13,316851.43,625675.7,2.44583168901191,0.822220648654154,1.62361104035775
1987,"entre65y79",3817417.81,1612700.02,2204717.79,9.87774931520838,4.17293765342168,5.7048116617867
1987,"mas80",986284.52,331934.19,654350.33,2.5520578901555,0.85889543171769,1.69316245843781
1988,"entre65y79",3916699.11,1661574.8,2255124.31,10.1093034543177,4.2886531217986,5.82065033251914
1988,"mas80",1034571.86,349223.64,685348.22,2.67031001981613,0.901373235735082,1.76893678408105
1989,"entre65y79",4013060.59,1710611.54,2302449.05,10.3373485128497,4.40640933833557,5.93093917451409
1989,"mas80",1083054.95,366383.19,716671.76,2.7898697828325,0.943776112854458,1.84609366997804
1990,"entre65y79",4113511.45,1761084.83,2352426.62,10.5814662831781,4.53015871645658,6.05130756672153
1990,"mas80",1128994.79,382100.06,746894.73,2.90419036131983,0.98290206574977,1.92128829557006
1991,"entre65y79",4206483.32,1808504.43,2397978.89,10.8118917924019,4.64838505605661,6.16350673634524
1991,"mas80",1177304.04,397103.25,780200.79,3.02601553813781,1.0206714356854,2.00534410245241
1992,"entre65y79",4309129.45,1861412.73,2447716.72,11.0238899121697,4.76198481728861,6.26190509488107
1992,"mas80",1218848.69,410536.73,808311.96,3.11813648999387,1.05026125785618,2.06787523213769
1993,"entre65y79",4404251.68,1910737.49,2493514.19,11.2020547423229,4.85989164933206,6.34216309299086
1993,"mas80",1269433.7,426592.84,842840.86,3.22875867056479,1.08502344860614,2.14373522195864
1994,"entre65y79",4512608.32,1965787.95,2546820.37,11.4169022759138,4.97344491895077,6.44345735696306
1994,"mas80",1311550.04,439607.42,871942.62,3.31822253889983,1.11220708689971,2.20601545200011
1995,"entre65y79",4622022,2021601.22,2600420.78,11.6356620905239,5.0892593496333,6.54640274089056
1995,"mas80",1356533.76,453096.52,903437.24,3.41499206315933,1.14064320791037,2.27434885524896
1996,"entre65y79",4749137.7,2085080.64,2664057.06,11.9003723042678,5.22478762837745,6.67558467589032
1996,"mas80",1394300.07,464085.38,930214.69,3.49383214069927,1.16290348939926,2.33092865130001
1997,"entre65y79",4870713.08,2146846.88,2723866.2,12.150361180696,5.35547148091307,6.7948896997829
1997,"mas80",1426093.6,472841.05,953252.55,3.55749805683051,1.17953766608636,2.37796039074415
1998,"entre65y79",5001827.03,2212615.87,2789211.16,12.4191497311957,5.49375410671685,6.92539562447886
1998,"mas80",1458010.05,481227.7,976782.35,3.62012620827037,1.19485116643446,2.42527504183591
1999,"entre65y79",5125909.99,2275157.9,2850752.09,12.6715183377307,5.62430965571496,7.0472086820157
1999,"mas80",1489297.26,488948.67,1000348.59,3.68162093701182,1.20870675649808,2.47291418051373
2000,"entre65y79",5229398.55,2325403.38,2903995.17,12.8690462743864,5.72259379691658,7.14645247746982
2000,"mas80",1513307.88,495834.76,1017473.12,3.72410497094615,1.22020159868849,2.50390337225766
2001,"entre65y79",5310712.27,2368055.16,2942657.11,12.9999234757247,5.7966868286568,7.20323664706791
2001,"mas80",1571294.9,516635.96,1054658.94,3.84632275658883,1.26465671709373,2.5816660394951
2002,"entre65y79",5391530,2404305,2987225,13.1225022525959,5.85186353009767,7.27063872249819
2002,"mas80",1639883.69,546079.35,1093804.34,3.99133036745047,1.32910834224628,2.66222202520419
